"param","Name","RAJ2000","DEJ2000","Rad","VVVXtile","Comments","pmRA","e_pmRA","pmDE","e_pmDE","plx","e_plx","Dist","Distp5","Distp95","RV","e_RV","BP-RP","e_BP-RP"
"nan","VVVX CL079",273.51087,-17.758839,20,"e0955","Group in Bubble: [SPK2012] MWP1G012930-000811","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"*","VVVX CL080",273.52711,-17.934716,19,"e0955","Small group around B0V star [MCF2015] 13, neb, concentrated",-0.1565,1.4374,-3.113,3.6308,0.5336,0.4174,1201.0,829.0,2514.0,"nan","nan",0.97,0.21
"nan","VVVX CL081",273.58743,-12.742477,20,"e0973","Small group around YSO: MSX6C G017.3765+02.2512","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"nan","VVVX CL082",273.60152,-17.293137,18,"e0956","Group in Bubble: [SPK2012] MWP1G013382+000659","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"nan","VVVX CL083",273.9558,-19.703903,23,"e0947","Small very red group, neb.","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"nan","VVVX CL084",274.00627,-16.085923,15,"e0964","Neb, IR: IRAS 18131-1606","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"nan","VVVX CL085",274.00635,-16.085481,17,"e0964","Group of stars, neb., IR source","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"*","VVVX CL086",274.04002,-13.755454,49,"e0972","Open cluster",-2.378,2.5917,-3.132,4.0305,0.5628,0.062,1718.0,1494.0,2116.0,"nan","nan",1.35,0.1
"nan","VVVX CL087",274.11136,-16.913282,35,"e0956","Open cluster","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"nan","VVVX CL088",274.20875,-19.889306,10,"e0947","Small group around YSO: MSX6C G011.3757-01.6770","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"*","VVVX CL089",274.24792,-16.999377,48,"e0956","Open cluster",0.521,1.8414,-1.787,3.3595,0.6742,0.294,1210.0,886.0,2335.0,"nan","nan",1.05,0.53
"nan","VVVX CL090",274.31272,-18.954494,132,"e0948","Open cluster","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"nan","VVVX CL091",274.34244,-16.999377,25,"e0956","Young cluster or dust window","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"nan","VVVX CL092",274.36149,-17.092749,10,"e0956","Embedded group around YSO:[PW2010] 48","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"nan","VVVX CL093",274.46122,-16.999192,10,"e0956","Embedded, compact group in HII region: MSX6C G014.0329-00.5155","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"nan","VVVX CL094",274.47758,-11.725361,13,"e0973","Second small group of stars close to BDS9, sub-cluster?","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"nan","VVVX CL095",274.48118,-16.975518,10,"e0956","Small group around YSO: SSTGLMA G014.0632-00.5199","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"nan","VVVX CL096",274.49227,-12.12361,16,"e0973","Small group around YSO: IRAS 18151-1208","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"nan","VVVX CL097",274.56175,-16.851552,34,"e0956","Neb, YSOs, bubbles, IR","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"nan","VVVX CL098",274.69662,-15.814823,20,"e0957","Group in HII region: IRAS 18159-1550","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"nan","VVVX CL099",274.70951,-13.815189,15,"e0965","Small group in HII region: MSX6C G016.9512+00.7806, close to M16, sub-cluster?","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"nan","VVVX CL100",274.71751,-13.859019,16,"e0965","Four bright stars, very compact, part of M16, RSG?","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"nan","VVVX CL101",274.82763,-13.794123,78,"e0965","Group in M16 (NGC 6611) region, sub-cluster?","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"*","VVVX CL102",274.916667,-13.3625,11,"e0966","Group in HII region: MSX6C G017.4507+00.8118","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1.47,0.1
"*","VVVX CL103",274.92301,-21.059604,32,"e0940","Group",-3.14,3.2674,-1.022,3.3342,0.8086,0.197,1154.0,907.0,1894.0,"nan","nan","nan","nan"
"nan","VVVX CL104",275.0264,-15.778958,10,"e0957","Small group in HII region: [SPE2008b] IRAS 18171-1548 VLA 1","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"nan","VVVX CL105",275.14792,-14.070781,13,"e0965","Embedded source in HII region: MSX6C G016.9261+00.2854","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"nan","VVVX CL106",275.23048,-14.258462,10,"e0965","Small group around YSO: 2MASS J18205529-1415306","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"*","VVVX CL107",275.25067,-18.696785,48,"e0948","Open cluster",-2.089,2.2319,-4.0075,1.9944,"nan","nan","nan","nan","nan","nan","nan",1.09,0.13
"nan","VVVX CL108",275.61197,-13.504312,45,"e0966","Young cluster in SFR: RAFGL 2136","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"nan","VVVX CL109",276.22857,-13.120082,35,"e0950","GC?","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"nan","VVVX CL110",276.29429,-12.704624,18,"e0959","Small group in HII region: [ABB2014] WISE G018.657-00.057","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"*","VVVX CL111",276.36596,-12.853166,77,"e0959","Open cluster",-3.008,1.4469,-5.4595,2.9577,"nan","nan","nan","nan","nan","nan","nan","nan","nan"
"*","VVVX CL112",276.38929,-11.588813,20,"e0967","Open cluster",-1.793,1.4948,-3.046,2.3819,0.3824,0.2343,1621.0,1186.0,2895.0,"nan","nan",1.45,0.31
"nan","VVVX CL113",276.42731,-13.172107,52,"e0950","Group in HII region: [CKW87] 182253.2-131203","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"nan","VVVX CL114",276.45151,-13.108666,11,"e0959","Small group around YSO: IRAS 18229-1308","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"nan","VVVX CL115",276.59424,-11.202625,20,"e0967","Group around emission line stars: LS IV -11 19","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"nan","VVVX CL116",276.73804,-11.535798,10,"e0967","Compact group around YSO: IRAS 18241-1134","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"nan","VVVX CL117",276.91016,-11.945382,12,"e0960","Compact group in HII region: [WBH2005] G019.608-0.237","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"nan","VVVX CL118",277.14922,-12.407517,10,"e0960","Compact group in HII region: IRAS 18257-1226","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"nan","VVVX CL119",277.31251,-11.839633,10,"e0960","Group in HII region: MSX6C G019.8817-00.5347","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"nan","VVVX CL120",277.51129,-12.257561,20,"e0960","Group in bubble: [SPK2012] MWP1G019605-009038","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
