"Cluster","RAJ2000","DEJ2000","GLON","GLAT","r50","Nstars","pmRA","s_pmRA","e_pmRA","pmDE","s_pmDE","e_pmDE","plx","s_plx","e_plx","d05","d16","dmode","d84","d95","dmode+01","dmode-01","X","Y","Z","Rgc"
"NGC_7142",326.29,65.782,105.352,9.489,0.102,401,-2.747,0.127,0.008,-1.288,0.119,0.007,0.392,0.047,0.003,2361.8,2367.6,2376.4,2385.2,2392.6,1920.1,3117.5,-620.6,2260.3,391.8,9241.2
"NGC_7160",328.448,62.589,104.014,6.437,0.075,47,-3.472,0.152,0.03,-1.378,0.197,0.032,1.05,0.055,0.009,919.9,922.6,926.7,930.8,933.6,848.1,1021.4,-223.0,893.5,103.9,8609.5
"NGC_7209",331.224,46.508,95.48,-7.296,0.304,311,2.255,0.11,0.009,0.283,0.115,0.01,0.82,0.044,0.002,1174.5,1175.9,1177.7,1179.6,1181.0,1053.7,1334.9,-111.6,1162.9,-149.6,8531.2
"NGC_7226",332.605,55.398,101.403,-0.595,0.019,51,-1.844,0.124,0.016,-2.065,0.084,0.013,0.185,0.041,0.006,4504.3,4575.8,4680.2,4790.2,4867.1,3188.0,8798.9,-925.3,4587.6,-48.6,10338.9
"NGC_7235",333.083,57.271,102.692,0.79,0.07,207,-3.757,0.136,0.018,-3.026,0.128,0.012,0.259,0.063,0.005,3417.9,3439.4,3467.1,3497.9,3516.3,2574.4,5307.9,-761.7,3382.1,47.8,9709.8
"NGC_7243",333.788,49.83,98.82,-5.582,0.255,313,0.433,0.176,0.012,-2.857,0.162,0.011,1.116,0.057,0.004,871.1,872.1,873.3,874.8,875.8,803.2,956.9,-133.3,858.9,-85.0,8516.7
"NGC_7245",333.812,54.336,101.371,-1.864,0.061,267,-3.952,0.101,0.008,-3.249,0.095,0.007,0.273,0.052,0.003,3269.1,3285.3,3307.0,3328.7,3342.2,2485.5,4939.3,-651.7,3240.4,-107.6,9557.7
"NGC_7261",335.056,58.128,104.045,0.912,0.051,93,-3.932,0.116,0.013,-2.909,0.089,0.01,0.278,0.056,0.006,3186.3,3217.1,3261.9,3309.5,3343.1,2459.4,4841.9,-791.5,3164.0,51.9,9664.1
"NGC_7281",336.259,57.869,104.443,0.352,0.138,57,-2.123,0.046,0.009,-1.238,0.069,0.011,0.432,0.038,0.005,2144.5,2155.3,2171.1,2188.0,2198.9,1783.8,2773.1,-541.5,2102.4,13.3,9126.9
"NGC_7296",337.0,52.321,101.88,-4.588,0.053,77,-2.958,0.075,0.01,-2.712,0.113,0.011,0.395,0.031,0.004,2322.8,2335.6,2355.6,2375.5,2389.8,1906.5,3081.4,-483.4,2297.7,-188.4,9117.7
"NGC_7380",341.817,58.125,107.128,-0.885,0.09,120,-2.517,0.131,0.011,-2.144,0.131,0.011,0.333,0.045,0.004,2728.0,2743.9,2765.6,2787.4,2801.3,2166.4,3819.6,-814.4,2642.7,-42.7,9528.2
"NGC_7419",343.579,60.814,109.131,1.12,0.042,331,-2.759,0.14,0.009,-1.601,0.159,0.01,0.28,0.062,0.003,3198.8,3214.7,3235.9,3257.1,3273.0,2444.8,4783.8,-1060.3,3056.6,63.2,9884.8
"NGC_7423",343.789,57.096,107.615,-2.277,0.032,147,-1.247,0.151,0.011,-1.25,0.13,0.013,0.239,0.071,0.006,3636.1,3674.3,3733.2,3792.2,3837.3,2718.6,5955.9,-1128.8,3555.4,-148.3,10114.3
"NGC_743",29.614,60.13,131.19,-1.663,0.123,62,-0.03,0.102,0.015,-1.708,0.112,0.018,0.881,0.032,0.005,1091.8,1094.6,1099.1,1103.6,1106.8,990.3,1234.8,-723.5,826.8,-31.9,9101.1
"NGC_744",29.652,55.473,132.412,-6.158,0.074,83,-1.864,0.1,0.016,-1.79,0.134,0.021,0.729,0.036,0.004,1308.8,1313.0,1319.0,1324.5,1328.7,1165.2,1519.4,-884.4,968.2,-141.5,9275.1
"NGC_7510",347.767,60.579,110.908,0.072,0.055,324,-3.664,0.126,0.008,-2.193,0.127,0.008,0.286,0.048,0.003,3148.8,3161.8,3177.5,3195.7,3208.7,2411.1,4658.0,-1133.9,2968.2,4.0,9928.0
"NGC_752",29.223,37.794,136.959,-23.289,0.485,240,9.81,0.272,0.019,-11.713,0.266,0.019,2.239,0.071,0.005,440.1,440.4,441.0,441.5,441.9,422.3,461.3,-296.0,276.5,-174.3,8640.5
"NGC_7654",351.195,61.59,112.815,0.432,0.133,1010,-1.938,0.147,0.005,-1.131,0.154,0.005,0.596,0.046,0.002,1596.8,1598.8,1600.1,1602.1,1603.4,1379.4,1904.9,-620.4,1474.8,12.1,9081.0
"NGC_7762",357.472,68.035,117.206,5.85,0.17,431,1.452,0.165,0.01,4.016,0.168,0.01,1.002,0.036,0.002,968.0,968.8,969.5,970.5,971.3,884.0,1073.6,-441.0,857.8,98.8,8822.7
"NGC_7788",359.179,61.395,116.43,-0.784,0.045,154,-3.112,0.113,0.01,-1.762,0.09,0.009,0.3,0.048,0.004,3002.3,3017.0,3039.2,3058.9,3073.6,2330.6,4361.6,-1352.6,2721.3,-41.6,10067.4
"NGC_7789",-0.666,56.726,115.527,-5.366,0.211,3019,-0.922,0.14,0.003,-1.933,0.138,0.003,0.453,0.049,0.001,2071.3,2073.5,2074.7,2076.9,2079.1,1718.2,2617.9,-890.1,1863.9,-194.0,9416.4
"NGC_7790",-0.387,61.21,116.595,-1.008,0.059,200,-3.276,0.096,0.008,-1.677,0.092,0.007,0.269,0.047,0.004,3318.4,3335.9,3359.2,3385.4,3402.8,2514.3,5059.2,-1503.6,3003.3,-59.1,10291.6
"NGC_869",34.741,57.134,134.625,-3.737,0.136,720,-0.689,0.122,0.004,-1.082,0.122,0.005,0.399,0.042,0.002,2323.7,2329.3,2336.3,2343.3,2347.5,1893.8,3048.5,-1637.7,1659.2,-152.3,10114.7
"NGC_884",35.584,57.149,135.052,-3.568,0.125,483,-0.628,0.117,0.006,-1.066,0.118,0.006,0.398,0.038,0.002,2329.1,2334.8,2341.8,2350.3,2355.9,1897.4,3057.9,-1654.2,1651.2,-145.7,10129.7
"NGC_957",38.343,57.553,136.293,-2.651,0.13,160,-0.252,0.089,0.007,-1.073,0.094,0.009,0.405,0.038,0.003,2280.0,2288.3,2302.2,2314.8,2324.5,1871.3,2991.1,-1662.5,1589.1,-106.5,10127.9
"Negueruela_1",356.849,63.219,115.791,1.238,0.022,53,-2.988,0.198,0.031,-1.343,0.121,0.023,0.289,0.059,0.009,3049.7,3086.2,3140.8,3200.6,3239.7,2389.9,4579.8,-1366.2,2827.3,67.9,10109.6
"Patchick_3",79.12,45.584,162.907,4.298,0.061,45,-1.609,0.048,0.012,-1.288,0.082,0.013,0.561,0.051,0.007,1671.1,1680.6,1693.6,1708.1,1717.5,1448.5,2039.6,-1614.3,496.4,126.9,9966.6
"Patchick_75",303.758,33.925,72.108,-0.512,0.015,26,-2.808,0.113,0.023,-4.421,0.217,0.042,0.113,0.066,0.014,6069.6,6401.3,7054.7,7858.9,8421.8,4136.0,23956.5,2167.3,6713.3,-63.1,9119.8
"Patchick_90",101.181,-0.532,212.64,-1.736,0.021,24,-0.15,0.186,0.035,1.063,0.079,0.017,0.126,0.094,0.02,5563.1,5892.2,6463.7,7173.8,7728.0,3928.6,18343.0,-5440.5,-3484.6,-195.9,14214.2
"Patchick_94",247.397,-47.31,336.458,0.855,0.016,34,-2.993,0.188,0.045,-3.697,0.155,0.051,0.208,0.143,0.024,3780.4,3946.8,4227.2,4545.6,4788.0,2970.9,7322.5,3874.9,-1688.3,63.1,4773.6
"Pfleiderer_3",346.995,60.874,110.673,0.489,0.054,32,-1.826,0.22,0.037,-1.168,0.249,0.045,0.074,0.102,0.017,7804.6,8479.3,9750.8,11489.3,12994.3,4937.2,"nan",-3442.2,9122.6,83.2,14901.1
"Pismis_1",124.58,-37.102,255.116,-0.709,0.025,66,-2.611,0.114,0.014,3.966,0.086,0.013,0.145,0.039,0.005,5546.1,5626.6,5739.4,5868.2,5948.7,3646.8,13504.7,-1474.1,-5546.4,-71.0,11273.0
"Pismis_11",138.974,-50.006,271.65,-0.699,0.014,47,-5.397,0.086,0.015,3.926,0.115,0.02,0.335,0.054,0.009,2685.4,2711.6,2751.8,2792.0,2820.1,2157.8,3793.2,79.2,-2750.4,-33.5,8706.6
"Pismis_12",140.007,-45.131,268.653,3.21,0.053,200,-6.748,0.138,0.013,4.833,0.107,0.01,0.431,0.049,0.004,2156.7,2163.9,2173.5,2183.1,2190.3,1785.5,2776.9,-51.0,-2169.5,121.7,8666.9
"Pismis_15",143.684,-48.04,272.495,2.863,0.038,132,-5.302,0.095,0.01,3.329,0.12,0.011,0.354,0.049,0.004,2574.6,2588.4,2610.8,2631.6,2647.1,2070.4,3533.0,113.5,-2605.1,130.4,8629.1
"Pismis_16",147.812,-53.172,277.83,0.683,0.009,5,-5.794,0.057,0.03,3.471,0.033,0.021,0.356,0.026,0.007,2490.4,2531.9,2598.5,2668.8,2717.5,2062.4,3511.3,354.0,-2574.1,31.0,8390.6
