"Cluster","GLON","e_GLON","GLAT","e_GLAT","Num","plx","e_plx","pmRA","e_pmRA","pmDE","e_pmDE","logAge","A0","_RA.icrs","_DE.icrs"
"CWNU_1108",174.1528,1.911,-22.2028,0.561,16,8.088,0.058,3.409,0.915,-13.876,0.657,7.2,0.15,63.0886,20.1071
"CWNU_1109",61.1527,0.195,29.4225,0.357,15,2.962,0.036,-2.613,0.114,-3.159,0.19,7.25,0.1,264.858,36.1974
"CWNU_1110",99.8438,1.439,69.508,0.555,18,3.356,0.077,9.731,4.153,-5.048,3.239,7.9,0.3,204.1627,45.5399
"CWNU_1111",192.7511,1.537,-9.0558,0.414,37,3.745,0.093,-1.914,0.297,-6.117,0.302,7.4,0.05,85.1812,13.3815
"CWNU_1112",229.8753,0.262,2.0936,0.531,74,0.884,0.029,-3.148,0.557,1.014,0.463,8.7,0.55,112.6704,-14.0362
"CWNU_1113",338.3651,1.122,27.9328,1.034,31,6.512,0.15,-16.489,1.134,-20.762,0.987,7.45,0.15,227.3638,-25.282
"CWNU_1114",166.3512,0.378,-13.658,0.448,44,2.284,0.086,7.34,1.455,-10.281,2.798,8.85,1.2,64.3219,31.365
"CWNU_1115",106.0678,0.142,5.935,0.184,67,1.095,0.045,-0.888,0.275,-2.051,0.28,6.7,1.45,332.7058,63.4184
"CWNU_1116",259.3122,0.055,-13.1298,0.076,27,2.415,0.044,-4.095,0.184,8.798,0.357,6.85,1.35,112.9292,-46.9728
"CWNU_1117",271.3999,0.37,-0.4441,0.398,26,2.053,0.081,-13.494,0.828,9.517,1.047,7.7,0.55,138.988,-49.6489
"CWNU_1118",108.7077,0.141,-2.5165,0.18,44,0.892,0.042,-1.128,0.721,-1.468,0.92,8.95,1.45,345.8051,57.3359
"CWNU_1119",95.0943,3.855,-53.2225,2.666,34,7.8,0.307,20.912,2.136,-15.799,3.32,8.25,0.7,356.53,6.0821
"CWNU_1120",76.9941,0.176,0.2006,0.28,18,2.021,0.078,3.008,0.616,-0.614,0.811,7.8,0.55,306.4629,38.3545
"CWNU_1121",259.0543,0.804,-22.1647,0.398,41,2.098,0.085,-6.574,0.828,10.178,0.829,7.7,0.35,100.0615,-50.009
"CWNU_1122",304.5184,0.298,2.8621,0.189,124,1.505,0.036,-12.056,0.21,-3.927,0.193,8.5,0.9,196.0269,-59.9706
"CWNU_1123",268.9468,1.467,-14.5711,0.907,127,2.254,0.127,-4.114,0.841,10.389,0.935,7.9,0.45,117.5694,-55.9904
"CWNU_1124",94.5377,0.807,-1.5282,0.577,56,2.855,0.081,7.069,1.799,1.839,1.105,7.75,0.35,324.6389,50.397
"CWNU_1125",152.434,0.227,0.5609,0.156,38,1.284,0.022,0.434,0.834,-3.434,1.548,7.65,1.2,64.6147,51.1707
"CWNU_1126",106.2859,0.107,6.5839,0.098,26,1.077,0.022,-1.452,0.077,-3.22,0.096,6.9,0.9,332.2541,64.0727
"CWNU_1127",20.0886,1.636,-52.5845,0.801,28,3.857,0.083,15.311,0.403,0.135,0.261,7.9,0.05,330.3068,-28.84
"CWNU_1128",162.473,1.751,26.3643,0.702,72,5.04,0.11,-2.905,0.669,-31.216,0.768,8.05,0.35,110.8586,54.829
"CWNU_1129",175.5231,0.363,-16.4618,0.451,25,6.161,0.114,10.017,1.536,-17.079,0.892,6.25,0.95,68.6511,22.9102
"CWNU_1130",139.8087,0.17,2.5548,0.195,37,0.934,0.02,0.335,0.11,0.676,0.086,7.15,1.85,49.0615,60.591
"CWNU_1131",141.1433,0.142,1.4849,0.162,93,0.922,0.038,0.553,0.198,-1.557,0.247,6.8,2.75,50.1711,58.9748
"CWNU_1132",147.3755,0.082,1.9323,0.155,28,0.921,0.03,0.983,0.804,-3.493,0.911,8.75,2.0,59.9176,55.6019
"CWNU_1133",90.1117,0.546,3.0606,0.215,28,3.28,0.115,8.189,1.004,4.378,0.91,7.85,0.35,314.6254,50.4621
"CWNU_1134",271.0288,1.876,-7.2517,0.52,26,3.205,0.076,-13.954,0.671,11.949,0.522,7.6,0.5,130.2523,-53.81
"CWNU_1135",256.1385,1.295,-13.2352,0.31,25,2.599,0.044,-4.734,0.748,9.992,0.307,6.95,0.25,110.8919,-44.2288
"CWNU_1136",300.2518,2.915,3.327,4.778,679,9.213,0.372,-36.298,2.328,-12.088,3.037,7.15,0.05,187.5924,-59.4351
"CWNU_1137",148.278,0.188,6.5702,0.136,24,1.481,0.043,-1.326,0.141,-1.443,0.094,8.05,0.95,66.9856,58.3433
"CWNU_1138",309.8626,0.245,2.5702,0.307,48,2.013,0.036,-13.828,0.201,-6.095,0.256,7.8,0.7,206.6237,-59.5586
"CWNU_1139",291.1751,0.276,1.5527,0.402,36,3.765,0.033,-23.729,0.392,6.079,0.393,7.9,0.35,169.4455,-59.1644
"CWNU_1140",152.2632,0.109,0.3562,0.072,22,0.838,0.031,0.849,0.146,-2.104,0.166,7.8,1.55,64.192,51.1429
"CWNU_1141",108.3753,0.147,6.1803,0.156,82,0.883,0.03,-2.521,0.206,-1.843,0.217,7.9,3.0,336.7835,64.8911
"CWNU_1142",198.0714,2.512,-23.239,1.638,231,3.402,0.18,0.054,1.239,-5.246,1.518,7.8,0.3,75.5484,1.7087
"CWNU_1143",347.7982,1.22,20.8979,2.022,40,9.332,0.132,-21.962,0.987,-33.816,0.611,7.4,0.05,239.6366,-25.2544
"CWNU_1144",261.6121,6.322,-19.381,0.913,59,5.167,0.214,-13.009,0.663,11.999,0.858,7.5,0.05,105.4071,-51.4306
"CWNU_1145",165.8876,0.206,-1.066,0.089,40,0.977,0.037,-0.488,0.624,-2.946,1.011,7.7,1.1,75.6543,39.9986
"CWNU_1146",346.0585,0.207,3.8985,0.312,21,6.035,0.046,-11.843,0.363,-22.521,0.522,7.15,0.05,252.9373,-38.1009
"CWNU_1147",175.6788,0.117,-2.4578,0.207,17,2.04,0.025,2.17,1.49,-6.034,1.489,8.95,0.35,81.3168,31.2446
"CWNU_1148",81.6382,0.197,-4.6717,0.05,23,0.962,0.021,-3.271,0.075,-8.947,0.101,7.65,1.25,315.044,39.0
"CWNU_1149",41.1054,0.321,31.5877,0.519,15,3.062,0.078,-5.12,1.004,4.751,2.211,9.45,0.7,256.8756,20.2813
"CWNU_1150",266.8169,0.454,-1.8023,0.534,116,2.059,0.083,-12.602,0.746,10.782,0.988,7.8,0.45,132.8639,-47.1342
"CWNU_1151",337.0314,0.071,-6.1343,0.057,57,0.89,0.029,-0.681,0.157,-1.243,0.083,7.7,1.15,256.1623,-51.3958
"CWNU_1152",60.7717,0.528,14.3474,0.787,25,3.337,0.055,1.377,1.154,-4.574,0.842,8.1,0.3,281.9074,31.0413
"CWNU_1153",339.815,0.194,-16.5631,0.35,18,2.268,0.038,3.469,0.569,-22.709,0.259,7.95,0.8,273.3971,-54.323
"CWNU_1154",139.1886,0.12,0.568,0.247,21,1.226,0.047,-0.171,0.202,-1.375,0.244,7.75,1.85,45.99,59.1913
"CWNU_1155",116.3348,0.048,4.9231,0.057,19,1.004,0.037,-2.331,0.078,0.075,0.107,7.6,3.1,355.8818,66.921
"CWNU_1156",105.4103,0.11,5.8805,0.053,20,0.98,0.027,-2.991,0.072,-3.223,0.099,7.65,1.25,331.5981,62.9925
"CWNU_1157",228.8771,0.073,-4.1179,0.051,17,0.802,0.015,-3.111,0.102,1.797,0.116,7.85,0.7,106.5009,-16.0579
"CWNU_1158",165.9587,0.116,6.2972,0.044,15,0.826,0.026,1.934,0.06,-2.574,0.049,7.95,0.95,83.846,44.163
"CWNU_1159",265.8824,0.089,-2.7462,0.112,17,1.381,0.036,-4.771,0.128,3.764,0.159,6.9,0.1,130.9247,-46.9992
"CWNU_1160",259.1908,0.233,-3.5521,0.122,15,1.998,0.054,-11.046,0.415,5.979,0.572,7.55,0.85,124.4913,-42.0676
"CWNU_1161",276.7149,0.463,9.456,0.436,19,2.563,0.017,-0.251,0.383,-0.749,0.753,8.1,0.3,154.4559,-45.4526
"CWNU_1162",245.5881,0.229,-12.3406,0.729,19,3.861,0.084,-11.191,0.659,7.195,0.317,7.65,0.2,106.3489,-34.513
"CWNU_1163",260.5751,0.144,-2.893,0.159,16,2.054,0.091,-9.341,0.902,6.452,0.25,7.3,0.15,126.2898,-42.8315
"CWNU_1164",66.8102,1.758,-48.1672,0.621,16,6.772,0.075,20.801,2.532,-9.95,3.284,8.15,0.3,339.235,-0.5081
"CWNU_1165",113.9833,0.647,-8.7976,0.361,15,2.319,0.059,5.043,2.268,-3.296,0.424,7.7,0.85,358.0461,53.0415
"CWNU_1166",129.795,0.062,1.3864,0.082,15,1.059,0.025,-0.822,0.391,-2.049,0.345,7.65,1.45,28.3498,63.4295
"CWNU_1167",295.0064,1.122,-0.6006,0.969,21,2.465,0.057,-15.14,0.369,-2.964,0.783,7.55,0.6,175.5447,-62.4018
"CWNU_1168",34.4505,0.632,6.9782,0.294,26,2.298,0.059,0.587,0.806,-5.253,0.693,7.6,1.2,277.3258,4.5201
"CWNU_1169",245.5498,0.532,-16.9264,0.245,19,4.279,0.155,-9.006,0.377,9.08,0.616,7.5,0.15,101.1555,-36.2783
"CWNU_1170",351.7179,0.073,-1.6087,0.048,20,0.803,0.018,-0.642,0.233,-0.759,0.201,7.75,2.3,262.7491,-36.7954
"CWNU_1171",167.369,2.434,-43.714,0.756,15,5.981,0.097,1.632,3.535,-8.959,3.239,8.75,0.2,43.6163,8.2912
"CWNU_1172",160.0674,0.338,-14.7833,0.139,15,2.041,0.061,1.157,1.97,-6.393,1.374,8.2,0.7,58.113,34.7273
"CWNU_1173",298.5737,0.129,-7.89,0.185,17,2.29,0.034,-13.198,0.211,-0.811,0.15,7.35,0.8,179.9418,-70.3233
"CWNU_1174",255.9334,0.407,-14.3952,0.293,16,2.386,0.061,-4.815,0.936,6.17,1.207,8.05,0.6,109.3002,-44.5307
"CWNU_1175",102.7768,0.242,-2.3769,0.35,20,2.955,0.089,10.024,1.824,2.031,1.213,7.85,0.45,336.3214,54.6723
"CWNU_1176",216.7051,0.338,-27.3601,0.41,16,3.678,0.092,-0.115,3.723,0.666,0.79,7.85,0.3,79.5208,-15.1637
"CWNU_1177",201.6987,0.308,-11.7296,0.142,15,2.23,0.063,-2.463,0.115,-1.148,0.066,6.85,1.45,87.2726,4.4192
"CWNU_1178",247.4601,1.144,-42.9952,0.602,15,7.174,0.063,0.617,0.653,20.131,0.452,7.6,0.15,68.1185,-42.8371
"CWNU_1179",271.6768,0.24,-14.2213,0.45,18,4.436,0.094,-14.796,1.31,8.015,0.678,7.75,0.3,120.4256,-58.16
"CWNU_1180",319.2498,0.939,-23.4808,0.283,18,3.406,0.056,1.851,1.666,-14.3,0.538,7.95,0.45,272.5729,-74.8166
"CWNU_1181",226.1945,0.377,-7.4355,0.361,17,5.932,0.051,0.088,0.181,-5.769,0.398,7.45,0.05,102.1801,-15.1572
"CWNU_1182",348.4447,1.399,52.7454,0.876,15,4.992,0.173,-22.077,3.3,-10.635,2.605,9.35,0.1,218.4485,-0.8363
"CWNU_1183",72.4161,0.213,7.3283,0.201,17,2.107,0.047,1.325,0.662,-1.214,0.865,7.65,0.1,295.6693,38.2762
"CWNU_1184",198.0422,0.824,-4.6936,0.458,18,2.235,0.052,0.008,1.057,-4.571,1.087,7.9,0.3,91.7232,10.9885
"CWNU_1185",15.0617,0.255,-9.4662,0.182,19,1.539,0.016,-1.582,0.259,-5.981,0.339,7.95,0.9,283.3693,-20.1438
"CWNU_1186",47.1176,0.183,-10.0364,0.187,15,2.011,0.05,5.529,1.4,-0.155,2.185,9.3,0.45,298.3809,7.776
"CWNU_1187",85.2558,0.493,17.0648,0.286,16,2.201,0.039,1.075,0.484,-2.07,0.471,7.95,0.65,291.0254,53.8236
"CWNU_1188",29.5139,0.355,12.9636,0.48,18,2.383,0.034,0.058,0.464,-8.326,0.535,7.6,1.05,269.7722,2.8994
"CWNU_1189",104.3519,0.115,6.0932,0.27,16,1.029,0.058,-1.926,0.646,-3.017,0.33,6.75,0.05,329.4825,62.528
"CWNU_1190",158.7751,0.116,-1.252,0.129,22,0.868,0.05,-0.445,0.196,-1.735,0.123,6.7,0.85,69.2574,45.3415
"CWNU_1191",155.0397,0.526,4.9173,0.361,34,3.328,0.061,9.318,0.373,-16.979,0.31,8.45,1.75,72.6335,52.2019
"CWNU_1192",98.3062,0.122,7.2547,0.064,15,1.163,0.017,-2.502,0.103,-3.478,0.164,7.05,1.55,318.722,59.3332
"CWNU_1193",102.4276,0.905,19.723,0.214,16,5.677,0.064,6.92,0.475,10.887,0.327,7.25,0.3,299.9999,69.8149
"CWNU_1194",261.0496,0.252,0.462,0.218,15,1.203,0.044,-8.09,0.471,5.773,0.114,7.8,0.85,130.3009,-41.2171
"CWNU_1195",257.1199,0.578,-43.2038,0.72,19,3.001,0.047,2.679,1.07,13.346,0.523,8.1,0.45,67.0132,-49.8484
"CWNU_1196",294.9869,0.246,-9.3035,0.35,15,3.449,0.024,-21.725,0.573,-0.648,0.46,7.6,0.6,168.537,-70.6594
"CWNU_1197",137.1862,0.228,0.4339,0.474,15,2.679,0.087,13.427,0.799,-15.737,0.873,8.85,0.65,42.3593,59.9989
"CWNU_1198",300.0315,0.343,-7.9321,0.097,18,2.279,0.071,-13.072,0.27,-1.888,0.301,7.6,0.75,184.1781,-70.608
"CWNU_1199",84.8492,0.456,0.5906,0.855,20,3.105,0.05,7.572,0.421,2.051,1.059,7.8,0.6,312.4138,44.845
"CWNU_1200",90.0496,0.374,-9.9491,0.222,15,3.17,0.061,6.918,0.127,-5.353,0.11,7.85,0.15,327.6544,41.1003
"CWNU_1201",75.1994,0.528,15.2873,0.377,20,3.073,0.059,1.76,1.404,-0.515,0.692,7.7,0.25,287.7586,44.2382
"CWNU_1202",152.6788,0.193,-15.2741,0.299,15,2.018,0.093,0.564,1.171,-5.402,1.27,8.05,0.25,50.6907,38.7037
"CWNU_1203",224.4887,0.087,-3.693,0.106,29,0.898,0.048,-3.38,0.145,0.493,0.306,6.9,0.05,104.8417,-11.9641
"CWNU_1204",237.5226,0.084,-7.5002,0.073,17,1.598,0.04,-4.917,0.323,3.534,0.208,7.25,0.25,107.423,-25.2586
"CWNU_1205",107.567,0.71,14.0411,0.132,17,4.296,0.094,10.708,0.636,5.983,0.259,7.8,3.75,322.1901,70.5904
"CWNU_1206",230.3672,0.949,-20.9604,0.77,18,4.559,0.07,-7.814,0.482,8.539,0.537,7.65,0.6,90.7726,-24.3391
"CWNU_1207",92.312,0.264,3.133,0.68,20,3.289,0.085,8.409,0.873,4.904,1.021,7.85,0.35,316.8699,52.1546
"CWNU_1208",202.3499,0.146,1.2286,0.089,15,0.842,0.006,-1.573,0.086,-0.894,0.078,7.15,1.25,99.0966,9.9727
"CWNU_1209",49.265,0.977,41.227,0.628,15,3.352,0.046,-4.751,3.683,-3.141,1.962,8.5,0.7,248.6815,29.2586
"CWNU_1210",276.9305,0.363,7.8808,0.262,15,2.337,0.067,-16.633,2.007,7.158,0.917,7.9,0.1,153.4233,-46.8722
"CWNU_1211",100.3863,0.305,24.5406,0.191,18,5.187,0.059,4.424,0.31,11.275,0.274,7.5,0.15,285.0674,69.5712
"CWNU_1212",141.3268,0.088,2.139,0.136,17,0.912,0.02,-2.04,0.115,-0.955,0.216,7.05,2.05,51.1685,59.4228
"CWNU_1213",340.1285,0.073,-7.9005,0.067,18,0.876,0.027,-2.291,0.213,-5.06,0.303,8.6,1.2,261.2301,-49.8965
"CWNU_1214",220.7093,0.412,-15.9889,0.649,16,3.227,0.099,-5.289,0.311,5.05,0.235,7.55,0.1,91.8196,-13.968
"CWNU_1215",120.7697,0.046,2.7152,0.056,34,1.399,0.047,2.271,0.168,-2.764,0.118,6.25,0.15,7.6455,65.4994
"CWNU_1216",88.5091,0.33,-0.2677,0.212,20,3.46,0.06,8.4,0.968,0.582,4.338,7.55,0.75,316.7896,47.0545
"CWNU_1217",116.8235,0.568,1.8859,0.498,40,2.477,0.15,6.199,0.977,-1.093,0.8,8.95,1.05,358.774,64.0874
"CWNU_1218",219.2254,0.079,-9.7754,0.238,22,1.037,0.029,-3.375,0.161,0.995,0.164,7.15,4.7,96.9235,-9.9952
"CWNU_1219",335.1191,0.076,-1.4312,0.059,36,0.808,0.016,-0.787,0.21,-2.806,0.214,8.35,3.55,248.5379,-49.8503
"CWNU_1220",149.7209,0.367,-1.1411,0.19,99,0.973,0.071,0.095,0.719,-1.925,0.651,8.65,1.85,59.5563,51.7419
"CWNU_1221",102.809,0.66,-1.0467,0.549,36,2.639,0.155,6.249,0.808,-1.927,0.615,7.55,1.15,335.1146,55.8113
"CWNU_1222",7.2926,0.016,-2.0438,0.018,56,0.822,0.045,1.882,0.195,-1.467,0.264,6.3,2.55,272.4544,-23.6481
"CWNU_1223",77.0127,0.083,0.5269,0.026,21,1.021,0.049,-1.621,0.428,-3.822,0.47,6.5,0.15,306.1363,38.558
"CWNU_1224",258.929,0.986,-15.176,0.38,28,2.956,0.05,-4.384,0.383,12.271,0.273,7.35,1.1,109.9642,-47.4949
"CWNU_1225",99.4821,0.359,-1.9634,0.273,31,2.561,0.088,5.236,1.129,-2.093,1.35,7.7,0.85,331.2986,53.1665
"CWNU_1226",334.6081,1.109,16.6013,1.531,34,8.446,0.152,-23.804,1.85,-29.041,1.468,7.25,0.05,231.6475,-36.5522
"CWNU_1227",216.2302,0.272,-10.9027,0.266,21,2.436,0.062,-3.929,0.755,1.259,2.092,8.5,1.0,94.5847,-7.8469
"CWNU_1228",107.4872,0.23,5.2377,0.134,126,1.093,0.055,-0.72,0.578,-2.98,0.567,6.6,3.95,336.2095,63.6233
"CWNU_1229",126.7512,0.167,-0.9165,0.271,97,1.073,0.045,-1.355,0.552,-1.481,0.404,7.2,2.45,20.9393,61.7153
"CWNU_1230",106.3927,0.052,3.1035,0.071,32,1.3,0.019,-0.214,0.346,-2.788,0.21,6.35,2.95,336.6531,61.235
"CWNU_1231",185.6794,0.154,-9.138,0.181,15,2.048,0.1,0.884,0.555,-5.058,0.469,7.7,1.75,81.2606,19.2657
"CWNU_1232",252.8619,0.399,-0.0022,0.297,15,2.94,0.078,-7.633,0.243,12.098,0.652,7.7,3.8,123.7475,-34.8379
"CWNU_1233",204.7644,0.061,-11.9447,0.051,16,2.971,0.075,4.848,0.42,0.18,0.421,6.0,0.75,88.519,1.6806
"CWNU_1234",87.218,0.065,-3.3401,0.057,36,1.387,0.022,-0.052,0.361,-3.222,0.296,7.1,1.3,318.7348,44.0132
"CWNU_1235",103.1519,0.189,2.5774,0.168,23,2.215,0.091,2.844,0.571,0.288,0.675,6.65,0.2,331.8392,58.9965
"CWNU_1236",348.4782,0.301,22.6147,1.014,16,8.135,0.1,-18.602,2.095,-27.046,1.56,7.4,0.05,238.8283,-23.5797
"CWNU_1237",260.7751,0.08,0.2291,0.054,22,1.052,0.031,-4.908,0.374,3.871,0.505,6.7,4.05,129.8331,-41.1421
"CWNU_1238",295.7247,0.047,-0.3389,0.026,30,0.939,0.031,-8.366,0.191,0.906,0.121,6.8,1.7,177.1857,-62.3301
"CWNU_1239",260.6818,0.116,0.6819,0.109,34,1.079,0.056,-5.404,0.863,3.465,1.05,6.5,0.3,130.2324,-40.7917
"CWNU_1240",111.2557,0.043,9.4683,0.034,19,1.077,0.043,-1.299,0.166,-2.191,0.293,6.5,1.35,338.6887,69.181
"CWNU_1241",111.4402,1.816,10.5427,0.91,31,2.608,0.092,5.74,1.629,0.329,1.12,7.85,1.1,337.5431,70.1956
"CWNU_1242",179.9452,0.395,-23.5072,0.131,16,3.452,0.045,3.133,0.295,-3.581,0.682,6.55,0.05,65.7164,15.2161
"CWNU_1243",78.1874,0.102,-0.3108,0.064,34,1.066,0.045,-1.044,0.18,-4.406,0.187,7.4,1.9,307.8886,39.0231
"CWNU_1244",100.0379,0.119,3.1777,0.14,44,1.047,0.018,-1.455,0.31,-3.258,0.224,6.85,2.2,326.474,57.5538
"CWNU_1245",30.5012,0.14,-0.5634,0.067,44,1.603,0.024,0.386,0.254,-6.322,0.247,6.35,4.9,282.2524,-2.4202
"CWNU_1246",133.0906,0.178,-4.6544,0.251,21,2.02,0.104,0.847,0.736,-0.758,1.73,8.45,0.05,31.5523,56.7353
"CWNU_1247",158.7075,0.183,-9.0981,0.194,15,2.04,0.057,-2.515,1.335,-1.493,1.481,7.7,2.25,61.6218,39.8569
"CWNU_1248",170.3807,0.222,0.6818,0.288,16,2.36,0.068,0.94,1.682,-1.001,1.738,8.9,0.05,80.8506,37.39
"CWNU_1249",88.7757,0.227,-1.4847,0.14,18,0.819,0.026,-2.94,0.066,-3.551,0.128,8.7,1.5,318.354,46.42
